index,batch,priority,client,document,date,status
19,agb_tielt-MULTI- BATCH 3707913,5,cs_besturen_schaubroeck,1,4/28/2022 9:45:17 AM,Ready
21,stad_leuven-03- BATCH 9028735,5,cs_besturen_01_team3,18,4/28/2022 10:02:56 AM,Ready
24,gem_diepenbeek-01- BATCH 8240969,5,cs_besturen_01_team3,1,4/28/2022 10:26:16 AM,Ready
25,ocmw_bornem-MULTI- BATCH 5979602,5,cs_besturen_schaubroeck,1,4/28/2022 10:28:39 AM,Ready
28,agb_ieper-MULTI- BATCH 4953226,5,cs_besturen_schaubroeck,1,4/28/2022 10:40:34 AM,Ready
29,stad_herentals-02- BATCH 7493485,5,cs_besturen_01_team3,1,4/28/2022 10:42:00 AM,Ready
30,gem_kortemark-MULTI- BATCH 57915,5,cs_besturen_schaubroeck,6,4/28/2022 10:42:30 AM,Ready
31,gem_wevelgem-MULTI- BATCH 357847,5,cs_besturen_schaubroeck,1,4/28/2022 10:46:33 AM,Ready
32,ocmw_zoutleeuw-MULTI- BATCH 3578,5,cs_besturen_schaubroeck,5,4/28/2022 10:46:55 AM,Ready
33,agb_ieper_musea-MULTI- BATCH 495,5,cs_besturen_schaubroeck,1,4/28/2022 10:51:49 AM,Ready
34,ocmw_mechelen-03- BATCH 9029382,5,cs_besturen_01_team3,3,4/28/2022 10:52:52 AM,Ready
35,gem_wortegem_petegem-MULTI- BATC 4/28/2022 9:53:08 AM,5,cs_besturen_schaubroeck,1,4/28/2022 10:53:08 AM,Ready
